gamma_phi=0_002MHz
job_index,eps,fd,qubit_state,t_levels,c_levels,fc,Ej,g,Ec,kappa,gamma,gamma_phi,n_t,n_c,end_time,snapshots,group_folder
54,0.0044085499999999998,10.49,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
55,0.0044085499999999998,10.490500000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
56,0.0044085499999999998,10.491,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
57,0.0044085499999999998,10.4915,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
58,0.0044085499999999998,10.492000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
59,0.0044085499999999998,10.4925,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
60,0.0044085499999999998,10.493,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
61,0.0044085499999999998,10.494,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
62,0.0044085499999999998,10.494999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
63,0.0044085499999999998,10.496,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
64,0.0044085499999999998,10.497,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
65,0.0044085499999999998,10.497999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
66,0.0044085499999999998,10.499000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
67,0.0044085499999999998,10.5,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-20dBm
68,0.0049464699999999997,10.48,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
69,0.0049464699999999997,10.480499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
70,0.0049464699999999997,10.481,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
71,0.0049464699999999997,10.4815,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
72,0.0049464699999999997,10.481999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
73,0.0049464699999999997,10.4825,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
74,0.0049464699999999997,10.483000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
75,0.0049464699999999997,10.483499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
76,0.0049464699999999997,10.484,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
77,0.0049464699999999997,10.484500000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
78,0.0049464699999999997,10.484999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
79,0.0049464699999999997,10.4855,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
80,0.0049464699999999997,10.486000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
81,0.0049464699999999997,10.486499999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
82,0.0049464699999999997,10.487,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
83,0.0049464699999999997,10.487500000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
84,0.0049464699999999997,10.488,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
85,0.0049464699999999997,10.4885,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
86,0.0049464699999999997,10.489000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
87,0.0049464699999999997,10.4895,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
88,0.0049464699999999997,10.49,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
89,0.0049464699999999997,10.490500000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
90,0.0049464699999999997,10.491,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
91,0.0049464699999999997,10.4915,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
92,0.0049464699999999997,10.492000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
93,0.0049464699999999997,10.493,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
94,0.0049464699999999997,10.494,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
95,0.0049464699999999997,10.494999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
96,0.0049464699999999997,10.496,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
97,0.0049464699999999997,10.497,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
98,0.0049464699999999997,10.497999999999999,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
99,0.0049464699999999997,10.499000000000001,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
100,0.0049464699999999997,10.5,1,10,40,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-19dBm
101,0.0055500300000000001,10.48,1,11,45,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-18dBm
102,0.0055500300000000001,10.480499999999999,1,11,45,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-18dBm
103,0.0055500300000000001,10.481,1,11,45,10.426299999999999,52.405522658165175,0.29324769334758782,0.21448180630636157,0.001,0.0,1.9999999999999999e-06,0.0,0.036999999999999998,30000.0,2001,-18dBm
